symbol	GSM2805414_Ad-LacZ.CEL
ADCY4	8.86956987186859
ADCY5	4.762376651591
ADCY6	6.53515448189316
ADCY7	5.07597371667078
ADCY8	3.34641404535109
ADCY9	5.23812423899609
ADCYAP1	3.34837982170539
ADCYAP1R1	4.69689502728933
ADD1	8.46222095426256
ADD2	4.00408550724475
ADD3	8.74062087374369
ADD3-AS1	3.66338070308954
ADGB	2.52361271094291
ADH1A	2.88170408475174
ADH1B	2.52432415761008
ADH1C	3.03337894032123
ADH4	2.80812588176281
ADH5	8.69865161514875
ADH6	4.08961936257881
ADH7	2.95702656720714
ADHFE1	7.03058137831619
ADI1	9.57126387967337
ADIG	5.64205842275145
ADIPOQ	2.66287249773403
ADIPOR1	8.58022927258136
ADIPOR2	8.88185493948481
ADIRF	5.07659632050245
ADIRF-AS1	5.57719405048152
ADK	7.50336130068168
ADM	10.8437187050667
ADM2	6.45519943668336
ADM5	3.97131775791213
ADNP	8.39004031191628
ADNP2	7.80517021759693
ADO	7.61009505625034
ADORA1	4.30885903392752
ADORA2A	6.66877478333816
ADORA2A-AS1	4.37557841807386
ADORA2B	8.34758694753989
ADORA3	3.38701048151893
ADPGK	8.17538351104988
ADPRH	5.45095545100829
ADPRHL1	5.49242783685999
ADPRHL2	9.81497048839508
ADPRM	7.39519160378785
ADRA1A	3.07284949621649
ADRA1B	4.45429613657919
ADRA1D	3.66800011066546
ADRA2A	3.58446016061881
ADRA2B	4.63321174135031
ADRA2C	4.63321174135031
ADRB1	3.66338070308954
ADRB2	7.05248358493278
ADRB3	4.84621018778764
ADRBK1	5.5154549349024
ADRBK2	6.29906563020297
ADRM1	9.434090719605
ADSL	9.69719005965207
ADSS	6.27026807096705
ADSSL1	5.95604140821208
ADTRP	5.16015931027043
AEBP1	6.22385166618304
AEBP2	5.20730473054453
AEN	8.07007922288307
AES	8.4746884282168
AF001548.5	4.3253588596564
AF007147	4.98860652264438
AF067845.1	3.03337894032123
AF070581	4.09715541691385
AF075036	2.79636892055471
AF086102	3.66338070308954
AF086125	2.52361271094291
AF086126	4.74312457005934
AF086154	4.04538510778212
AF086184	4.45429613657919
AF086219	3.42576793345345
AF086288	3.50518532530405
AF086294	3.97131775791213
AF090939	3.74173351593308
AF131215.3	3.42576793345345
AF131215.4	2.52361271094291
AF131215.8	2.80751536351294
AF186192.1	4.74312457005934
AF198444	2.52361271094291
AF213884.2	5.97136485736855
AF279780	3.03337894032123
AF279782	2.3900334125817
AF289551	4.04538510778212
AF520793	2.95702656720714
AFAP1	6.77797496176119
AFAP1-AS1	3.1563503444085
AFAP1L1	6.76650701576228
AFAP1L2	2.88170408475174
AFF1	4.74312457005934
AFF2	3.97131775791213
AFF3	3.14965634258708
AFF4	5.32017911676076
AFG3L1P	5.9006791386137
AFG3L2	7.5526093758191
AFM	2.59254649341595
AFMID	4.51585802206809
AFP	5.69327027861458
AFTPH	7.74562449854395
AGA	8.53815877029479
AGAP1	4.79542979977343
AGAP10	6.48771509787103
AGAP11	5.82365852253747
AGAP2	3.74173351593308
AGAP2-AS1	6.47154887064934
AGAP3	6.43866259588103
AGAP4	6.48771509787103
AGAP5	6.48771509787103
AGAP6	4.76927718491639
AGAP7P	7.19714028552497
AGAP9	3.50518532530405
AGBL1	3.66338070308954
AGBL2	3.11064025994831
AGBL3	2.20053923674618
AGBL4	3.50518532530405
AGBL5	6.31727201109934
AGER	4.43896800806358
AGFG1	7.94100197991741
AGFG2	5.05333207821442
AGGF1	7.36162845787542
AGK	6.73798722051629
AGL	7.2263373159463
AGMAT	4.04538510778212
AGO1	4.60434962214865
AGO2	6.96135564135302
AGO3	4.21808885481935
AGO4	5.06095116137335
AGPAT1	7.86810196132488
AGPAT2	6.86596891763634
AGPAT3	7.70016426317772
AGPAT4	6.73981695037738
AGPAT4-IT1	5.77458225079494
AGPAT5	8.67775436271025
AGPAT6	5.41759135608184
AGPAT9	3.50518532530405
AGPS	8.16931974918716
AGR2	3.03518825498879
AGR3	2.2622545976128
AGRN	7.26673242579924
AGRP	5.63639924212702
AGT	3.42576793345345
AGTPBP1	5.38623491427468
AGTR1	3.03383341357773
AGTR2	2.95702656720714
AGTRAP	8.25617201589059
AGXT	3.18867242522585
AGXT2	4.3253588596564
AHCTF1	6.14449975333244
AHCTF1P1	4.45429613657919
AHCY	9.00770633201771
AHCYL1	7.78192779322644
AHCYL2	6.48814331968461
AHDC1	5.63639924212702
AHI1	3.26732057569154
AHNAK	5.47646120156605
AHNAK2	6.31814525776607
AHR	7.26436967144877
AHRR	5.80069876480059
AHSA1	10.3283857177224
AHSA2	4.68101786160042
AHSG	2.99809389436939
AHSP	4.51585802206809
AICDA	2.84460972413234
AIDA	10.3323481299627
AIF1	5.25402918939843
AIF1L	5.62996119383135
AIFM1	7.81853250878007
AIFM2	6.31047807158426
AIFM3	5.27584495978125
AIG1	3.66338070308954
AIM1	8.70301148407762
AIM1L	4.65104700804155
AIM2	4.18886321578016
AIMP1	8.02648044085804
AIMP2	9.40671996323628
AIP	7.46236249084219
AIPL1	3.69878105340991
AIRE	5.63639924212702
AJ011981	3.11064025994831
AJ420595	4.39079260185657
AJ606316	2.73454767877389
AJAP1	3.73217957007425
AJUBA	8.23770445220852
AK000798	3.11064025994831
AK021537	5.11868952610534
AK021804	6.92949240011294
AK021933	5.35474656917722
AK021977	3.18867242522585
AK022030	7.81853250878007
AK022793	4.18886321578016
AK023507	4.63321174135031
AK023627	3.18867242522585
AK024119	5.41759135608184
AK024134	2.95702656720714
AK024242	2.3900334125817
AK024936	2.80751536351294
AK025117	5.72088661571006
AK025288	5.11868952610534
AK025975	3.66338070308954
AK026714	2.88170408475174
AK026905	4.51585802206809
AK054708	3.70054261080509
AK054988	2.54864264132102
AK055055	3.97131775791213
AK055364	2.4561018218042
AK055458	3.19598776206587
AK055910	3.03337894032123
AK055967	4.11794509479741
AK055981	4.84605736296546
AK056098	4.79542979977343
AK056973	3.97131775791213
AK056982	3.89589989630613
AK057259	5.45095545100829
AK057554	2.46754345776003
AK057657	8.96792431419373
AK057978	4.18886321578016
AK074476	4.04538510778212
AK090844	5.66511497250041
AK091028	4.51585802206809
AK091729	3.66338070308954
AK093205	1.96849788368695
AK093256	2.80751536351294
AK093301	2.8906094593209
AK093356	5.31260674907596
AK093362	3.26732057569154
AK093370	3.11064025994831
AK094644	2.73454767877389
AK094733	3.58446016061881
AK094915	2.95702656720714
AK096159	3.34641404535109
AK096335	3.18867242522585
AK096592	4.689072800347
AK096803	5.14850640698687
AK097119	3.34641404535109
AK097242	2.73454767877389
AK097370	3.03337894032123
AK097453	4.04538510778212
AK097836	3.34641404535109
AK098263	2.2622545976128
AK1	8.33033985414364
AK123826	3.42576793345345
AK125860	4.94257148167468
AK126278	3.89589989630613
AK128734	3.66338070308954
AK130486	4.09801482625613
AK131021	4.04538510778212
AK2	7.50689874623813
AK291611	4.3253588596564
AK3	9.75509329643681
AK311120	3.18867242522585
AK4	4.9952369160784
AK5	3.6111210780507
AK6	10.1033185487212
AK7	3.89066289894348
AK8	5.33483104647259
AK9	5.41759135608184
AKAP1	5.62197112629669
AKAP10	4.86754472507544
AKAP11	5.79031145393409
AKAP12	8.80652457985642
AKAP13	5.97136485736855
AKAP14	2.3900334125817
AKAP17A	5.80069876480059
AKAP2	9.83877688260819
AKAP3	4.25802935653126
AKAP4	3.50518532530405
AKAP5	4.53424171485787
AKAP6	3.15172030627911
AKAP7	5.78898264872975
AKAP8	7.66593747407336
AKAP8L	5.54665470893319
AKAP9	3.74173351593308
AKIP1	8.56507247405343
AKIRIN1	7.3286051743746
AKIRIN2	6.37055190175868
AKNA	4.86811777703832
AKNAD1	2.73454767877389
